year,rank,country,score,gdp,life_expectancy,freedom,generosity,corruption,social_support
2018,1,Finland,7.632,1.305,0.874,0.681,0.202,0.393,1.592
2018,2,Norway,7.594,1.456,0.861,0.686,0.286,0.34,1.582
2018,3,Denmark,7.555,1.351,0.868,0.683,0.284,0.408,1.59
2018,4,Iceland,7.495,1.343,0.914,0.677,0.353,0.138,1.644
2018,5,Switzerland,7.487,1.42,0.927,0.66,0.256,0.357,1.549
2018,6,Netherlands,7.441,1.361,0.878,0.638,0.333,0.295,1.488
2018,7,Canada,7.328,1.33,0.896,0.653,0.321,0.291,1.532
2018,8,New Zealand,7.324,1.268,0.876,0.669,0.365,0.389,1.601
2018,9,Sweden,7.314,1.355,0.913,0.659,0.285,0.383,1.501
2018,10,Australia,7.272,1.34,0.91,0.647,0.361,0.302,1.573
2018,11,United Kingdom,7.19,1.244,0.888,0.464,0.262,0.082,1.433
2018,12,Austria,7.139,1.341,0.891,0.617,0.242,0.224,1.504
2018,13,Costa Rica,7.072,1.01,0.817,0.632,0.143,0.101,1.459
2018,14,Ireland,6.977,1.448,0.876,0.614,0.307,0.306,1.583
2018,15,Germany,6.965,1.34,0.861,0.586,0.273,0.28,1.474
2018,16,Belgium,6.927,1.324,0.894,0.583,0.188,0.24,1.483
2018,17,Luxembourg,6.91,1.576,0.896,0.632,0.196,0.321,1.52
2018,18,United States,6.886,1.398,0.819,0.547,0.291,0.133,1.471
2018,19,Israel,6.814,1.301,0.883,0.533,0.354,0.272,1.559
2018,20,United Arab Emirates,6.774,2.096,0.67,0.284,0.186,N/A,0.776
2018,21,Czech Republic,6.711,1.233,0.854,0.543,0.064,0.034,1.489
2018,22,Malta,6.627,1.27,0.884,0.645,0.376,0.142,1.525
2018,23,France,6.489,1.293,0.908,0.52,0.098,0.176,1.466
2018,24,Mexico,6.488,1.038,0.761,0.479,0.069,0.095,1.252
2018,25,Chile,6.476,1.131,0.808,0.431,0.197,0.061,1.331
2018,26,Taiwan,6.441,1.365,0.857,0.418,0.151,0.078,1.436
2018,27,Panama,6.43,1.112,0.759,0.597,0.125,0.063,1.438
2018,28,Brazil,6.419,0.986,0.675,0.493,0.11,0.088,1.474
2018,29,Argentina,6.388,1.073,0.744,0.57,0.062,0.054,1.468
2018,30,Guatemala,6.382,0.781,0.608,0.604,0.179,0.071,1.268
2018,31,Uruguay,6.379,1.093,0.771,0.625,0.13,0.155,1.459
2018,32,Qatar,6.374,1.649,0.748,0.654,0.256,0.171,1.303
2018,33,Saudi Arabia,6.371,1.379,0.633,0.509,0.098,0.127,1.331
2018,34,Singapore,6.343,1.529,1.008,0.631,0.261,0.457,1.451
2018,35,Malaysia,6.322,1.161,0.669,0.356,0.311,0.059,1.258
2018,36,Spain,6.31,1.251,0.965,0.449,0.142,0.074,1.538
2018,37,Colombia,6.26,0.96,0.635,0.531,0.099,0.039,1.439
2018,38,Trinidad & Tobago,6.192,1.223,0.564,0.575,0.171,0.019,1.492
2018,39,Slovakia,6.173,1.21,0.776,0.354,0.118,0.014,1.537
2018,40,El Salvador,6.167,0.806,0.639,0.461,0.065,0.082,1.231
2018,41,Nicaragua,6.141,0.668,0.7,0.527,0.208,0.128,1.319
2018,42,Poland,6.123,1.176,0.781,0.546,0.108,0.064,1.448
2018,43,Bahrain,6.105,1.338,0.698,0.594,0.243,0.123,1.366
2018,44,Uzbekistan,6.096,0.719,0.605,0.724,0.328,0.259,1.584
2018,45,Kuwait,6.083,1.474,0.675,0.554,0.167,0.106,1.301
2018,46,Thailand,6.072,1.016,0.707,0.637,0.364,0.029,1.417
2018,47,Italy,6,1.264,0.946,0.281,0.137,0.028,1.501
2018,48,Ecuador,5.973,0.889,0.736,0.556,0.114,0.12,1.33
2018,49,Belize,5.956,0.807,0.474,0.593,0.183,0.089,1.101
2018,50,Lithuania,5.952,1.197,0.716,0.35,0.026,0.006,1.527
2018,51,Slovenia,5.948,1.219,0.856,0.633,0.16,0.051,1.506
2018,52,Romania,5.945,1.116,0.726,0.528,0.088,0.001,1.219
2018,53,Latvia,5.933,1.148,0.671,0.363,0.092,0.066,1.454
2018,54,Japan,5.915,1.294,0.988,0.553,0.079,0.15,1.462
2018,55,Mauritius,5.891,1.09,0.684,0.584,0.245,0.05,1.387
2018,56,Jamaica,5.89,0.819,0.693,0.575,0.096,0.031,1.493
2018,57,South Korea,5.875,1.266,0.955,0.244,0.175,0.051,1.204
2018,58,Northern Cyprus,5.835,1.229,0.909,0.495,0.179,0.154,1.211
2018,59,Russia,5.81,1.151,0.599,0.399,0.065,0.025,1.479
2018,60,Kazakhstan,5.79,1.143,0.631,0.454,0.148,0.121,1.516
